Area,Room,Parking,Warehouse,Elevator,Address
63,1,True,True,True,Shahran
60,1,True,True,True,Shahran
79,2,True,True,True,Pardis
95,2,True,True,True,Shahrake Qods
123,2,True,True,True,Shahrake Gharb
70,2,True,True,False,North Program Organization
87,2,True,True,True,Pardis
59,1,True,True,True,Shahran
54,2,True,True,False,Andisheh
71,1,True,True,True,West Ferdows Boulevard
68,2,True,True,True,West Ferdows Boulevard
64,1,True,True,True,Narmak
54,1,False,True,True,Narmak
136,3,True,True,True,Saadat Abad
95,2,True,True,True,Zafar
63,1,False,True,False,Islamshahr
155,3,True,True,True,Narmak
64,2,False,True,False,Pirouzi
140,3,True,True,True,West Ferdows Boulevard
42,1,False,True,False,Pirouzi
93,2,True,True,True,Shahrake Gharb
87,2,True,True,True,Shahrake Shahid Bagheri
65,1,True,True,True,Shahran
99,2,True,True,True,Moniriyeh
105,2,True,True,True,Saadat Abad
77,2,True,True,True,Amirieh
123,2,True,True,True,Pirouzi
110,2,True,True,True,Southern Janatabad
100,2,True,True,True,West Ferdows Boulevard
90,2,False,True,False,Salsabil
49,1,True,True,True,West Ferdows Boulevard
96,2,True,True,True,Zargandeh
67,2,True,True,False,Feiz Garden
68,2,True,True,True,West Ferdows Boulevard
62,1,True,False,True,Water Organization
55,1,True,True,True,West Ferdows Boulevard
110,2,True,True,True,West Ferdows Boulevard
129,2,True,True,True,West Ferdows Boulevard
109,2,True,True,True,West Ferdows Boulevard
58,1,True,True,True,Saadat Abad
55,1,True,True,True,Saadat Abad
150,2,False,True,True,Shahrake Qods
130,3,True,True,False,ShahrAra
88,2,True,True,True,Gisha
51,1,True,True,True,Gisha
113,3,True,True,False,Shahrake Gharb
110,2,True,True,True,Ray
60,1,True,True,True,Abbasabad
98,2,True,True,True,Pardis
62,2,False,False,True,Ostad Moein
150,3,True,True,True,Farmanieh
75,2,False,False,False,Parand
61,1,True,True,False,Punak
61,1,True,True,False,Punak
72,2,True,True,True,Shahran
100,2,True,True,True,Qasr-od-Dasht
122,3,True,True,True,Aqdasieh
101,2,True,True,True,Railway
67,2,True,True,True,Punak
72,2,True,True,False,Punak
63,1,True,True,False,Punak
75,2,True,True,False,Punak
109,2,True,True,True,Shahran
122,2,True,True,True,Aqdasieh
70,1,True,True,True,Central Janatabad
60,1,True,True,True,West Ferdows Boulevard
53,1,True,True,False,East Ferdows Boulevard
90,1,False,True,False,Pakdasht KhatunAbad
72,2,True,True,True,Amirieh
74,2,True,True,True,Amirieh
88,3,False,False,True,Parand
63,1,True,True,True,Punak
114,3,True,True,True,Sattarkhan
151,3,True,True,True,Saadat Abad
42,1,True,False,True,Shahran
74,2,True,True,True,Amirieh
88,3,False,False,True,Parand
63,1,True,True,True,Punak
114,3,True,True,True,Sattarkhan
151,3,True,True,True,Saadat Abad
42,1,True,False,True,Shahran
110,2,True,True,True,West Ferdows Boulevard
